全角,和暦,辞書用よみ,西暦,和暦元号,和暦（読み）,年（半）,年（全）,十子,読み,十二支,読み,時代区分,備考
６６７,天智天皇（諡号）6,てんじてんのう６,667,天智天皇（諡号）,てんじてんのう,6,６,丁,ひのと,卯,うさぎ,,
６６８,天智天皇（諡号）7,てんじてんのう７,668,天智天皇（諡号）,てんじてんのう,7,７,戊,つちのえ,辰,たつ,,
６６９,天智天皇（諡号）8,てんじてんのう８,669,天智天皇（諡号）,てんじてんのう,8,８,己,つちのと,巳,へび,,
６７０,天智天皇（諡号）9,てんじてんのう９,670,天智天皇（諡号）,てんじてんのう,9,９,庚,かのえ,午,うま,,
６７１,天智天皇（諡号）10,てんじてんのう１０,671,天智天皇（諡号）,てんじてんのう,10,１０,辛,かのと,未,ひつじ,,
６７２,天智天皇（諡号）11,てんじてんのう１１,672,天智天皇（諡号）,てんじてんのう,11,１１,壬,みずのえ,申,さる,0,壬申の乱
６７２,弘文天皇（諡号）1,こうぶんてんのう１,672,弘文天皇（諡号）,こうぶんてんのう,1,１,壬,みずのえ,申,さる,0,壬申の乱
６７２,天武天皇（諡号）1,てんむてんのう１,672,天武天皇（諡号）,てんむてんのう,1,１,壬,みずのえ,申,さる,0,壬申の乱
６７３,天武天皇（諡号）2,てんむてんのう２,673,天武天皇（諡号）,てんむてんのう,2,２,癸,みずのと,酉,とり,,
６７４,天武天皇（諡号）3,てんむてんのう３,674,天武天皇（諡号）,てんむてんのう,3,３,甲,きのえ,戌,いぬ,,
６７５,天武天皇（諡号）4,てんむてんのう４,675,天武天皇（諡号）,てんむてんのう,4,４,乙,きのと,亥,いのしし,,
６７６,天武天皇（諡号）5,てんむてんのう５,676,天武天皇（諡号）,てんむてんのう,5,５,丙,ひのえ,子,ねずみ,,
６７７,天武天皇（諡号）6,てんむてんのう６,677,天武天皇（諡号）,てんむてんのう,6,６,丁,ひのと,丑,うし,,
６７８,天武天皇（諡号）7,てんむてんのう７,678,天武天皇（諡号）,てんむてんのう,7,７,戊,つちのえ,寅,とら,,
６７９,天武天皇（諡号）8,てんむてんのう８,679,天武天皇（諡号）,てんむてんのう,8,８,己,つちのと,卯,うさぎ,,
６８０,天武天皇（諡号）9,てんむてんのう９,680,天武天皇（諡号）,てんむてんのう,9,９,庚,かのえ,辰,たつ,,
６８１,天武天皇（諡号）10,てんむてんのう１０,681,天武天皇（諡号）,てんむてんのう,10,１０,辛,かのと,巳,へび,,
６８２,天武天皇（諡号）11,てんむてんのう１１,682,天武天皇（諡号）,てんむてんのう,11,１１,壬,みずのえ,午,うま,,
６８３,天武天皇（諡号）12,てんむてんのう１２,683,天武天皇（諡号）,てんむてんのう,12,１２,癸,みずのと,未,ひつじ,,
６８４,天武天皇（諡号）13,てんむてんのう１３,684,天武天皇（諡号）,てんむてんのう,13,１３,甲,きのえ,申,さる,,
６８５,天武天皇（諡号）14,てんむてんのう１４,685,天武天皇（諡号）,てんむてんのう,14,１４,乙,きのと,酉,とり,,
６８６,天武天皇（諡号）15,てんむてんのう１５,686,天武天皇（諡号）,てんむてんのう,15,１５,丙,ひのえ,戌,いぬ,,
６８７,天武天皇（諡号）16,てんむてんのう１６,687,天武天皇（諡号）,てんむてんのう,16,１６,丁,ひのと,亥,いのしし,0,
６８７,持統天皇（諡号）1,じとうてんのう１,687,持統天皇（諡号）,じとうてんのう,1,１,丁,ひのと,亥,いのしし,0,
６８８,持統天皇（諡号）2,じとうてんのう２,688,持統天皇（諡号）,じとうてんのう,2,２,戊,つちのえ,子,ねずみ,,
６８９,持統天皇（諡号）3,じとうてんのう３,689,持統天皇（諡号）,じとうてんのう,3,３,己,つちのと,丑,うし,,
６９０,持統天皇（諡号）4,じとうてんのう４,690,持統天皇（諡号）,じとうてんのう,4,４,庚,かのえ,寅,とら,,
６９１,持統天皇（諡号）5,じとうてんのう５,691,持統天皇（諡号）,じとうてんのう,5,５,辛,かのと,卯,うさぎ,,
６９２,持統天皇（諡号）6,じとうてんのう６,692,持統天皇（諡号）,じとうてんのう,6,６,壬,みずのえ,辰,たつ,,
６９３,持統天皇（諡号）7,じとうてんのう７,693,持統天皇（諡号）,じとうてんのう,7,７,癸,みずのと,巳,へび,,
６９４,持統天皇（諡号）8,じとうてんのう８,694,持統天皇（諡号）,じとうてんのう,8,８,甲,きのえ,午,うま,,
６９５,持統天皇（諡号）9,じとうてんのう９,695,持統天皇（諡号）,じとうてんのう,9,９,乙,きのと,未,ひつじ,,
６９６,持統天皇（諡号）10,じとうてんのう１０,696,持統天皇（諡号）,じとうてんのう,10,１０,丙,ひのえ,申,さる,,
６９７,持統天皇（諡号）11,じとうてんのう１１,697,持統天皇（諡号）,じとうてんのう,11,１１,丁,ひのと,酉,とり,0,
６９７,文武天皇（諡号）1,ぶんぶてんのう１,697,文武天皇（諡号）,ぶんぶてんのう,1,１,丁,ひのと,酉,とり,0,
６９８,文武天皇（諡号）2,ぶんぶてんのう２,698,文武天皇（諡号）,ぶんぶてんのう,2,２,戊,つちのえ,戌,いぬ,,
６９９,文武天皇（諡号）3,ぶんぶてんのう３,699,文武天皇（諡号）,ぶんぶてんのう,3,３,己,つちのと,亥,いのしし,,
７００,文武天皇（諡号）4,ぶんぶてんのう４,700,文武天皇（諡号）,ぶんぶてんのう,4,４,庚,かのえ,子,ねずみ,,
７０１,文武天皇（諡号）5,ぶんぶてんのう５,701,文武天皇（諡号）,ぶんぶてんのう,5,５,辛,かのと,丑,うし,0,大宝律令制定
７０１,大宝1,たいほう１,701,大宝,たいほう,1,１,辛,かのと,丑,うし,0,大宝律令制定
７０２,大宝2,たいほう２,702,大宝,たいほう,2,２,壬,みずのえ,寅,とら,,
７０３,大宝3,たいほう３,703,大宝,たいほう,3,３,癸,みずのと,卯,うさぎ,,
７０４,大宝4,たいほう４,704,大宝,たいほう,4,４,甲,きのえ,辰,たつ,0,
７０４,慶雲1,きょううん１,704,慶雲,きょううん,1,１,甲,きのえ,辰,たつ,0,
７０５,慶雲2,きょううん２,705,慶雲,きょううん,2,２,乙,きのと,巳,へび,,
７０６,慶雲3,きょううん３,706,慶雲,きょううん,3,３,丙,ひのえ,午,うま,,
７０７,慶雲4,きょううん４,707,慶雲,きょううん,4,４,丁,ひのと,未,ひつじ,,
７０８,慶雲5,きょううん５,708,慶雲,きょううん,5,５,戊,つちのえ,申,さる,0,
７０４,慶雲1,けいうん１,704,慶雲,けいうん,1,１,甲,きのえ,辰,たつ,0,
７０５,慶雲2,けいうん２,705,慶雲,けいうん,2,２,乙,きのと,巳,へび,,
７０６,慶雲3,けいうん３,706,慶雲,けいうん,3,３,丙,ひのえ,午,うま,,
７０７,慶雲4,けいうん４,707,慶雲,けいうん,4,４,丁,ひのと,未,ひつじ,,
７０８,慶雲5,けいうん５,708,慶雲,けいうん,5,５,戊,つちのえ,申,さる,0,
